id,class,x,y,vx,vy,timestamp_ms
FL-01,Forklift,0.5,0.0,1.2,0.0,500
FL-02,Forklift,23.5,0.0,-1.2,0.0,500
W-03,Person,12.0,0.0,0.0,0.0,500
FL-01,Forklift,1.7,0.0,1.2,0.0,1000
FL-02,Forklift,22.3,0.0,-1.2,0.0,1000
W-03,Person,12.0,0.0,0.0,0.0,1000
FL-01,Forklift,2.9,0.0,1.2,0.0,1500
FL-02,Forklift,21.1,0.0,-1.2,0.0,1500
W-03,Person,12.0,0.0,0.0,0.0,1500
FL-01,Forklift,4.1,0.0,1.2,0.0,2000
FL-02,Forklift,19.9,0.0,-1.2,0.0,2000
W-03,Person,12.0,0.0,0.0,0.0,2000
FL-01,Forklift,5.3,0.0,1.2,0.0,2500
FL-02,Forklift,18.7,0.0,-1.2,0.0,2500
W-03,Person,12.0,0.0,0.0,0.0,2500
FL-01,Forklift,6.5,0.0,1.2,0.0,3000
FL-02,Forklift,17.5,0.0,-1.2,0.0,3000
W-03,Person,12.0,0.0,0.0,0.0,3000
FL-01,Forklift,7.7,0.0,1.2,0.0,3500
FL-02,Forklift,16.3,0.0,-1.2,0.0,3500
W-03,Person,12.0,0.0,0.0,0.0,3500
FL-01,Forklift,8.9,0.0,1.2,0.0,4000
FL-02,Forklift,15.1,0.0,-1.2,0.0,4000
W-03,Person,12.0,0.0,0.0,0.0,4000
